ProductName,Qty,Unit_Price,SaleDate,CurrencyType,CustomerID,StoreID,Total_Price,Unit_Price_OMR,Total_Price_OMR
Smith Paper,3,10.5,2024-07-13,OMR,9ca482a2-0356-49c1-b5e3-88ae98d1cc2f,Store_A,31.5,3.99,11.97
Johnson Screen,2,19.416666666666668,2025-02-23,OMR,c0b9df4e-8f03-4bf0-a31b-0a7d7c2a8907,Store_A,38.833333333333336,7.378333333333334,14.756666666666668
Roberts Ingredient,3,30.0,2024-11-13,OMR,97dc18e3-2c12-4e26-9863-32514e82e822,Store_A,90.0,11.4,34.2
White Monitor,2,10.5,2025-04-16,OMR,e4d09733-d496-47b3-a4b5-04de84d8fd06,Store_A,21.0,3.99,7.98
Rodriguez Keyboard,2,20.0,2024-08-03,OMR,435ecb46-4545-4af7-b72c-119f64d193a5,Store_A,40.0,7.6,15.2
Smith Bag,2,30.0,2025-01-24,OMR,918d3b6c-c8bc-4bb9-9789-319b8f7f1d10,Store_A,60.0,11.4,22.8
Young Printer,2,20.0,2024-10-11,OMR,722ce28c-e0ef-47f2-a3cc-91d1372bebaf,Store_A,40.0,7.6,15.2
Jackson Cable,3,10.5,2025-03-04,OMR,6ed6e2b1-3a9c-42c4-a493-1e177948a9fc,Store_A,31.5,3.99,11.97
Anderson Lamp,3,30.0,2025-05-14,OMR,d9966648-3b63-487c-9011-d52513c114d7,Store_A,90.0,11.4,34.2
Hall Cup,3,15.75,2024-09-29,OMR,85746df4-64ad-49ac-88a4-a582cc382075,Store_A,47.25,5.985,17.955000000000002
Williams Bottle,2,19.416666666666668,2025-02-06,OMR,691df20b-7bb8-4a7b-8a4b-07a997a311fa,Store_A,38.833333333333336,7.378333333333334,14.756666666666668
Moore Chair,3,30.0,2024-08-12,OMR,0822d2d7-9454-4aa3-95bc-b869d6957852,Store_A,90.0,11.4,34.2
Taylor Table,1,10.5,2024-06-22,OMR,7f18df12-a14a-45a4-8ede-68137fa2ff57,Store_A,10.5,3.99,3.99
Martin Charger,1,15.75,2024-08-05,OMR,d9eac4d1-730d-422d-943b-fde6eacacf3c,Store_A,15.75,5.985,5.985
Lee Clock,3,19.416666666666668,2025-02-25,OMR,0822d2d7-9454-4aa3-95bc-b869d6957852,Store_A,58.25,7.378333333333334,22.135
Walker Camera,2,30.0,2024-06-19,OMR,b5f4c6c3-2c44-4952-af29-a830ae5207d5,Store_A,60.0,11.4,22.8
Allen Notebook,3,20.0,2025-04-07,OMR,5ce3e057-5846-41b1-9d5a-7f56f8aa778b,Store_A,60.0,7.6,22.8
Harris Pen,3,15.75,2025-02-19,OMR,fe6e6f78-bdc3-4deb-a6a2-5f9cd36d2484,Store_A,47.25,5.985,17.955000000000002
Clark Glass,1,30.0,2025-03-06,OMR,55eb5681-5dca-4690-991c-378a0119f76b,Store_A,30.0,11.4,11.4
Lewis Ruler,2,15.75,2025-02-21,OMR,10f25bba-5c31-4c70-b065-e050a9b6803a,Store_A,31.5,5.985,11.97
Robinson Shelf,2,19.416666666666668,2025-05-11,OMR,ab320db6-c693-4d4f-9186-0c95cf801c15,Store_A,38.833333333333336,7.378333333333334,14.756666666666668
Hill Phone,3,30.0,2025-04-03,OMR,90fbe81f-ec15-4681-9a0c-9b311cca8220,Store_A,90.0,11.4,34.2
Scott Plate,1,20.0,2025-01-16,OMR,3ec28f56-6bb9-4553-bdcc-07b13c1b305f,Store_A,20.0,7.6,7.6
Adams Brush,3,20.0,2024-08-12,OMR,ec763343-23d2-4cda-a7b9-2c1732c67506,Store_A,60.0,7.6,22.8
Green Folder,2,30.0,2025-03-03,OMR,546ef9ad-fc0e-4f4e-af6e-d78188f6373e,Store_A,60.0,11.4,22.8
Baker Speaker,2,20.0,2024-11-19,OMR,0822d2d7-9454-4aa3-95bc-b869d6957852,Store_A,40.0,7.6,15.2
Nelson Knife,1,10.5,2025-03-27,OMR,bd30a5b1-1830-436d-8552-7aeb9f333595,Store_A,10.5,3.99,3.99
Carter Fan,2,30.0,2024-06-29,OMR,feaeae49-e208-4b0b-a4ee-88ab5eb6a7c5,Store_A,60.0,11.4,22.8
Mitchell Frame,3,10.5,2024-11-18,OMR,1a26ed92-27bd-4be2-8386-45682bfc37f5,Store_A,31.5,3.99,11.97
Perez Board,2,15.75,2024-10-26,OMR,c60710bc-5981-4da9-8b7c-c867f251e34b,Store_A,31.5,5.985,11.97
Roberts Pen,2,10.5,2025-01-15,OMR,de1309c3-53d9-44d3-90a6-8417994fe287,Store_A,21.0,3.99,7.98
Phillips Hook,2,30.0,2024-06-16,OMR,0822d2d7-9454-4aa3-95bc-b869d6957852,Store_A,60.0,11.4,22.8
Evans Tape,1,30.0,2025-04-19,OMR,74b4076b-51e3-4ee8-a997-424a9550c915,Store_A,30.0,11.4,11.4
Turner Pad,3,19.416666666666668,2024-09-25,OMR,1b96902d-270f-44ad-8e0c-b401104aaadb,Store_A,58.25,7.378333333333334,22.135
Torres Stand,1,30.0,2025-02-20,OMR,89a7e081-4883-437a-9cbb-0692e6d6d7eb,Store_A,30.0,11.4,11.4
Parker Cable,3,10.5,2025-05-23,OMR,b92c4eef-340c-48fb-a51e-5dc77c7e53a1,Store_A,31.5,3.99,11.97
Collins Rug,3,10.5,2024-10-10,OMR,8a92685f-22de-4bde-8abb-48b670e75e56,Store_A,31.5,3.99,11.97
Edwards Mixer,3,15.75,2024-12-29,OMR,0822d2d7-9454-4aa3-95bc-b869d6957852,Store_A,47.25,5.985,17.955000000000002
