ProductName,Qty,Unit_Price,SaleDate,CurrencyType,CustomerID,StoreID,Total_Price,Unit_Price_OMR,Total_Price_OMR
Smith Paper,2,15.75,2025-01-21,OMR,e7ca4c9c-f50c-47b7-bfa8-9099481cda82,store-A,31.5,5.985,11.97
Johnson Mirror,1,15.75,2024-10-14,OMR,fa0921c6-b10f-4a8a-bb80-2c6db42851f8,store-A,15.75,5.985,5.985
Roberts Pen,2,30.0,2025-04-16,OMR,ff1f1a3e-4889-46d4-824e-d92e4c51cf45,store-A,60.0,11.4,22.8
White Monitor,2,15.75,2025-01-09,OMR,953b7f1c-47e2-4d65-92c1-871feb259325,store-A,31.5,5.985,11.97
Torres Table,2,30.0,2024-08-11,OMR,276d23d2-aa88-4056-9480-acc4c7d6a499,store-A,60.0,11.4,22.8
Martin Charger,2,15.75,2024-12-20,OMR,267f6422-e359-4bb5-98c9-300691a129bf,store-A,31.5,5.985,11.97
Walker Camera,1,19.096666666666668,2025-02-19,OMR,75ba74dd-7ada-4f1d-9bf1-b95d2aaabd98,store-A,19.096666666666668,7.256733333333334,7.256733333333334
Allen Notebook,3,19.096666666666668,2024-06-11,OMR,db9a761e-8833-4a9f-9753-6e31705ce909,store-A,57.290000000000006,7.256733333333334,21.770200000000003
Harris Pen,2,10.5,2024-10-25,OMR,2520f9ed-572a-45a1-96af-3d25c78e1b98,store-A,21.0,3.99,7.98
Green Folder,1,15.75,2024-07-09,OMR,9a233a40-5e4b-4f26-9630-d3570e5c198d,store-A,15.75,5.985,5.985
Moore Chair,3,19.096666666666668,2024-08-10,OMR,1889ca5a-60c6-4da8-8289-4cd9af1f7152,store-A,57.290000000000006,7.256733333333334,21.770200000000003
Jackson Cable,3,30.0,2025-02-17,OMR,def3ae23-c730-46ec-9332-6141a1c02d0f,store-A,90.0,11.4,34.2
Lewis Ruler,2,19.096666666666668,2024-09-27,OMR,b1472070-43cf-4430-9a11-f6397f902e0c,store-A,38.193333333333335,7.256733333333334,14.513466666666668
Robinson Shelf,3,10.5,2024-10-26,OMR,f8efa0c5-e7ce-4ddf-995b-e0f440cc0280,store-A,31.5,3.99,11.97
Hall Cup,3,10.5,2024-08-24,OMR,9ed6af05-1054-4980-b864-e909daa92273,store-A,31.5,3.99,11.97
Parker Cable,2,19.096666666666668,2024-05-31,OMR,15fda73e-7b88-4ad7-85c9-d23d8187e574,store-A,38.193333333333335,7.256733333333334,14.513466666666668
Scott Plate,1,15.75,2024-08-23,OMR,de635d4f-d67d-4d05-9236-9d073426b4b2,store-A,15.75,5.985,5.985
Adams Brush,3,30.0,2025-03-22,OMR,f44e356e-8887-4a5d-a8c0-47f4fa482a06,store-A,90.0,11.4,34.2
Mitchell Frame,2,15.75,2024-10-04,OMR,28db4b77-bf17-4d5e-8c81-aa62e84a1b6e,store-A,31.5,5.985,11.97
Hill Phone,2,15.75,2024-12-24,OMR,ff8159fe-b68a-4bd9-848d-64b836a96eae,store-A,31.5,5.985,11.97
Phillips Hook,3,19.096666666666668,2025-04-09,OMR,0104ec48-84a4-4638-9ed4-dad335d44c43,store-A,57.290000000000006,7.256733333333334,21.770200000000003
Evans Tape,2,20.0,2024-11-08,OMR,103bc58d-7df8-47ae-988b-8738b4b2b050,store-A,40.0,7.6,15.2
Rivera Block,2,19.096666666666668,2024-06-05,OMR,1b35b6d8-800e-4972-879e-7235f8840cb3,store-A,38.193333333333335,7.256733333333334,14.513466666666668
Sanchez Book,1,19.096666666666668,2024-11-10,OMR,1f696c4e-14d1-40b4-a151-52968f14a663,store-A,19.096666666666668,7.256733333333334,7.256733333333334
Stewart Mouse,2,30.0,2024-06-30,OMR,0104ec48-84a4-4638-9ed4-dad335d44c43,store-A,60.0,11.4,22.8
Gray Tool,3,30.0,2024-11-01,OMR,ca1fa71a-cb7a-49d0-8784-70a46c5a917d,store-A,90.0,11.4,34.2
James Grip,2,15.75,2024-08-20,OMR,cd09a97b-9cf0-43c7-94f7-8429dda52a58,store-A,31.5,5.985,11.97
Barnes Belt,2,19.096666666666668,2025-05-14,OMR,75d8418d-cfed-4264-8371-5240b329ae85,store-A,38.193333333333335,7.256733333333334,14.513466666666668
Wood Tire,2,19.096666666666668,2024-08-02,OMR,0104ec48-84a4-4638-9ed4-dad335d44c43,store-A,38.193333333333335,7.256733333333334,14.513466666666668
Price Clip,2,20.0,2025-01-23,OMR,259051fc-5e0b-49ed-b0a7-09140016fe70,store-A,40.0,7.6,15.2
Bennett Lock,2,10.5,2024-10-19,OMR,d0ca3892-b567-47e7-bdd8-e6ff93c008e4,store-A,21.0,3.99,7.98
Henderson Gear,2,20.0,2025-02-10,OMR,d9863483-2c2e-40fe-a61c-947827fdc682,store-A,40.0,7.6,15.2
Coleman Case,3,10.5,2024-06-29,OMR,7ca80b40-9f31-4c1f-a093-65ce89565f36,store-A,31.5,3.99,11.97
Perry Switch,3,10.5,2025-04-28,OMR,67ac2bb7-f822-49ef-b717-7957f7b40b8b,store-A,31.5,3.99,11.97
Powell Tube,2,15.75,2025-01-06,OMR,df0dcf93-d795-418c-8ad0-3f87ebb22022,store-A,31.5,5.985,11.97
Long Mat,2,19.096666666666668,2025-01-05,OMR,6d1e722b-f021-40d1-b632-79c8bac35bd8,store-A,38.193333333333335,7.256733333333334,14.513466666666668
Jenkins Valve,2,10.5,2024-12-15,OMR,56db1f35-4912-4506-bdcb-454b361283d7,store-A,21.0,3.99,7.98
Flores Coat,1,30.0,2024-08-29,OMR,ee4817ac-7337-43cb-a0b8-21360d714253,store-A,30.0,11.4,11.4
Bryant Brush,3,15.75,2024-06-18,OMR,0104ec48-84a4-4638-9ed4-dad335d44c43,store-A,47.25,5.985,17.955000000000002
Russell Oil,3,19.096666666666668,2025-05-24,OMR,d51975f7-6f63-42ac-9fff-a6b86d07a7aa,store-A,57.290000000000006,7.256733333333334,21.770200000000003
Diaz Soap,3,15.75,2024-12-09,OMR,86c2d109-c411-48d9-8d1c-0e4c9cf09711,store-A,47.25,5.985,17.955000000000002
Hayes Lotion,2,10.5,2024-06-19,OMR,10c8ed7e-bba0-4f05-99b7-c72d90c66aaf,store-A,21.0,3.99,7.98
Myers Shampoo,1,15.75,2025-03-03,OMR,7c680274-3c15-495c-b873-51d0caf70312,store-A,15.75,5.985,5.985
Wallace Polish,2,30.0,2025-02-03,OMR,7483887b-54a5-4722-af8f-8ff753116c08,store-A,60.0,11.4,22.8
Sullivan Wax,2,20.0,2024-10-06,OMR,aa397cc2-9832-440f-b220-d8ede4795245,store-A,40.0,7.6,15.2
Graham Cleaner,2,15.75,2024-11-25,OMR,f217ea88-9f4e-44ae-9587-4e51dbe668a4,store-A,31.5,5.985,11.97
Cole Polish,2,19.096666666666668,2024-12-25,OMR,089f6dd7-f901-4521-a02c-eb1bf002c6c7,store-A,38.193333333333335,7.256733333333334,14.513466666666668
Washington Skirt,2,15.75,2025-03-12,OMR,86f1d0e1-f0ec-4632-82f3-1f232c8221e7,store-A,31.5,5.985,11.97
Foster Hat,1,20.0,2025-05-25,OMR,05d39b68-833c-45d0-9af3-c0b3bad43a5c,store-A,20.0,7.6,7.6
